,source,target,value
0,france,russia,12
1,germany,russia,26
2,bulgaria,germany,6
3,bulgaria,russia,6
4,germany,italy,26
5,austria,germany,11
6,germany,spain,1
7,france,poland,11
8,france,germany,31
9,germany,poland,28
10,estonia,germany,5
11,estonia,latvia,12
12,latvia,lithuania,6
13,finland,lithuania,12
14,finland,germany,5
15,belgium,poland,5
16,belgium,netherlands,6
17,luxembourg,netherlands,6
18,belgium,luxembourg,4
19,belgium,denmark,6
20,denmark,norway,12
21,denmark,sweden,5
22,germany,sweden,6
23,france,italy,4
24,albania,greece,12
25,greece,ukraine,2
26,belarus,ukraine,6
27,belarus,libya,3
28,egypt,libya,16
29,egypt,iraq,5
30,germany,japan,24
31,japan,russia,16
32,germany,morocco,2
33,algeria,morocco,6
34,algeria,italy,5
35,japan,thailand,6
36,singapore,thailand,6
37,japan,singapore,5
38,japan,philippines,11
39,japan,solomon islands,9
40,india,japan,11
41,france,india,6
42,india,pakistan,18
43,israel,pakistan,6
44,israel,south africa,11
45,israel,libya,5
46,iran,libya,6
47,germany,iran,3
48,france,japan,4
49,india,papua new guinea,3
50,pakistan,philippines,6
51,laos,philippines,5
52,cambodia,laos,6
53,cambodia,kenya,6
54,ghana,kenya,6
55,ghana,seychelles,6
56,angola,seychelles,5
57,angola,mozambique,6
58,estonia,lithuania,6
59,finland,romania,6
60,albania,romania,5
61,albania,bulgaria,6
62,bulgaria,poland,6
63,poland,romania,6
64,hungary,romania,6
65,hungary,mongolia,4
66,cuba,mongolia,6
67,cuba,united states,7
68,canada,united states,2
69,australia,canada,6
70,australia,vietnam,4
71,cambodia,vietnam,4
72,cuba,vietnam,5
73,russia,united states,2
74,finland,russia,6
75,germany,norway,6
76,greece,italy,4
77,italy,japan,6
78,romania,russia,6
79,india,lebanon,3
80,india,singapore,5
